BillingCycle,ProductName,InstanceId,InstanceName,Tags,PretaxGrossAmount,Currency,Usage,UsageUnit,Region
2026-05,ecs,i-bp1abc1,order-app-01,"CostCenter:team-order;Env:prod",2400.00,CNY,720,小时,cn-hangzhou
2026-05,ecs,i-bp1abc2,order-app-02,"CostCenter:team-order;Env:prod",2400.00,CNY,720,小时,cn-hangzhou
2026-05,ecs,i-bp1abc3,order-db-master,"CostCenter:team-order",5500.00,CNY,720,小时,cn-hangzhou
2026-05,rds,r-bp1def1,order-db-slave,"Team:team-order",3000.00,CNY,720,小时,cn-hangzhou
2026-05,slb,lb-bp1ghi1,order-lb,"team:team-order",650.00,CNY,720,小时,cn-hangzhou
2026-05,oss,oss-order-01,order-storage,"CostCenter:team-order",280.00,CNY,1200,GB,cn-hangzhou
2026-05,ecs,i-bp1pay1,pay-app-01,"CostCenter:team-payment;Env:prod",2200.00,CNY,720,小时,cn-hangzhou
2026-05,ecs,i-bp1pay2,pay-app-02,"CostCenter:team-payment;Env:prod",2200.00,CNY,720,小时,cn-hangzhou
2026-05,rds,r-bp1pay1,pay-db,"team:team-payment",6000.00,CNY,720,小时,cn-hangzhou
2026-05,kms,kms-pay,pay-kms,"Team:team-payment",150.00,CNY,10000,次,cn-hangzhou
2026-05,ecs,i-bp1usr1,user-app-01,"CostCenter:team-user",2000.00,CNY,720,小时,cn-hangzhou
2026-05,ecs,i-bp1usr2,user-app-02,"CostCenter:team-user",2000.00,CNY,720,小时,cn-hangzhou
2026-05,redis,redis-user,user-cache,"team:team-user",1200.00,CNY,720,小时,cn-hangzhou
2026-05,sms,sms-user,user-sms-service,"Team:team-user",3800.00,CNY,750000,条,cn-hangzhou
2026-05,ecs,i-bp1data1,data-spark-01,"CostCenter:team-data",8000.00,CNY,720,小时,cn-hangzhou
2026-05,ecs,i-bp1data2,data-spark-02,"CostCenter:team-data",8000.00,CNY,720,小时,cn-hangzhou
2026-05,oss,oss-data-warehouse,data-lake,"team:team-data",2800.00,CNY,7500,GB,cn-hangzhou
2026-05,emr,emr-data-01,data-emr-cluster,"Team:team-data",6000.00,CNY,720,小时,cn-hangzhou
2026-05,ecs,i-bp1inf1,infra-monitor,"CostCenter:team-infra",1500.00,CNY,720,小时,cn-hangzhou
2026-05,ecs,i-bp1inf2,infra-ci-runner,"CostCenter:team-infra",3000.00,CNY,720,小时,cn-hangzhou
2026-05,ecs,i-bp1inf3,infra-logging,"CostCenter:team-infra",2600.00,CNY,720,小时,cn-hangzhou
2026-05,vpc,vpc-shared,common-gateway-main,"Name:shared-gateway",5200.00,CNY,7800000,GB,cn-hangzhou
2026-05,cdn,cdn-shared,common-gateway-cdn,"Team:shared",3200.00,CNY,10000,GB,cn-hangzhou
2026-05,waf,waf-shared,common-gateway-waf,"team:shared",2000.00,CNY,720,小时,cn-hangzhou
2026-05,ecs,i-bp1unk1,unknown-vm-01,"",650.00,CNY,720,小时,cn-hangzhou
2026-05,oss,oss-backup-01,random-backup,"Project:unknown",400.00,CNY,450,GB,cn-hangzhou
